myfile,Freq
只领,2
脂肪,2
脂肪瘤,2
直径,2
止咳,2
指新,2
痔疮膏,2
肿瘤性,2
重复,2
重视,2
主攻,2
煮熟,2
抓紧,2
转给,2
转阴,2
状大,2
状感,2
状了,2
状明,2
状前,2
状是,2
状腺,2
准确,2
阻肺,2
组合,2
昨晚,2
左边,2
左侧,2
作恶,2
坐诊,2
做进,2
做气,2
做事,2
COPD,1
cT,1
Description,1
DSA,1
ID,1
Igm,1
II,1
mri,1
NT,1
PET,1
ppt,1
proBNP,1
TB,1
tspot,1
ug,1
阿比,1
安抚,1
安静,1
安神,1
氨酸,1
按到,1
按国,1
按疗,1
按摩,1
按症,1
八点,1
巴结,1
巴瘤,1
拔管,1
把片,1
把协,1
把药,1
白高,1
白片,1
白质,1
百都,1
百分,1
百乐眠,1
百种,1
班途,1
斑片,1
斑一,1
瘢痕,1
半部,1
半个,1
半胱,1
半粒,1
帮上,1
孢不,1
孢的,1
孢等,1
孢地,1
孢和拜,1
孢曲,1
孢先,1
孢有,1
饱胀,1
宝宝,1
保存,1
保肝,1
保来,1
保重,1
报到,1
爆发,1
悲观,1
碑榜,1
北省,1
贝拉唑,1
本能,1
本人,1
鼻窦炎,1
鼻通,1
比感,1
比例,1
吡杷止,1
必过,1
必惊,1
必如,1
必是,1
必妥,1
边有,1
变都,1
变时,1
变有,1
便宜,1
便于,1
辨别,1
标查,1
标注,1
表观,1
憋气,1
别对,1
别人,1
冰片,1
丙球,1
病发,1
病好,1
病后,1
病即,1
病可,1
病来,1
病前,1
病区,1
病微,1
病学,1
病要,1
病院,1
玻璃样,1
搏动性,1
补气,1
不爱,1
不测,1
不出,1
不错,1
不得,1
不低,1
不定,1
不断,1
不反,1
不方,1
不放,1
不复,1
不够,1
不及,1
不仅,1
不客,1
不拉,1
不老,1
不满,1
不骗,1
不如,1
不收,1
不谢,1
不需,1
不宜,1
不易,1
不愈,1
不针,1
不准,1
布洛芬,1
步心,1
部局,1
部门,1
部用,1
猜测,1
参编,1
参加,1
参切,1
草口,1
测个,1
测一,1
茶一,1
查发,1
查过,1
查甲,1
查心,1
差呼,1
差些,1
差异,1
肠溶,1
常说,1
常体,1
常委,1
常用,1
超是,1
潮湿,1
车去,1
撤离,1
沉积,1
成拜,1
成冰,1
成都,1
成分,1
成功,1
成果,1
成了,1
成年,1
成人,1
成为,1
吃刺,1
吃得,1
吃凉,1
吃水,1
吃些,1
吃辛,1
吃营,1
吃止,1
持续性,1
冲击,1
冲剂,1
冲突,1
充分,1
充血,1
充营,1
出发,1
出入,1
出影,1
出诊,1
初有,1
除粟,1
除哮,1
除性,1
除有,1
厨房,1
处方,1
触过,1
触及,1
触摸,1
触时,1
触者,1
传过,1
窗户,1
床位,1
床症,1
春花,1
此次,1
此紧,1
此前,1
此时,1
刺取,1
从现,1
摧毁,1
达某,1
打爆,1
打工,1
打抗,1
打破,1
大半,1
大点,1
大概,1
大哈,1
大环,1
大会,1
大量,1
大名,1
大片,1
大人,1
大意,1
大致,1
呆着,1
代表,1
代替,1
代药,1
带来,1
带齐,1
带身,1
带血,1
带有,1
带者,1
待因,1
袋里,1
袋要,1
戴护,1
单独,1
单拍,1
单上,1
单位,1
单膝,1
耽误,1
淡漠,1
淡盐,1
淡易,1
弹性,1
当口,1
当前,1
当于,1
倒过,1
到发,1
到体,1
盗汗,1
得病,1
得非,1
得近,1
得去,1
德福,1
德先,1
灯上,1
登记,1
等致,1
低度,1
低危,1
滴注,1
抵御,1
地点,1
地喹,1
地兰,1
地有,1
点击,1
点木,1
点片,1
点头,1
点药,1
点钟,1
丁啉,1
定性,1
定义,1
东方,1
动会,1
豆腐,1
窦性,1
毒肺,1
毒颗,1
毒口,1
毒力,1
毒量,1
毒片,1
毒一,1
度影,1
短期,1
断室,1
对爱,1
对待,1
对呼,1
对抗,1
对明,1
对药,1
多餐,1
多层,1
多尔,1
多化,1
多么,1
多实,1
多药,1
多种,1
额外,1
厄贝,1
恶心,1
鄂尔,1
儿感,1
而定,1
而异,1
二聚,1
二院,1
发不,1
发部,1
发汗,1
发红,1
发就,1
发来,1
发视,1
发送,1
发小,1
发炎,1
发一,1
法看,1
反过,1
反映,1
反正,1
返城,1
返回,1
返老,1
饭袋,1
饭量,1
方向,1
防掩,1
放好,1
放宽,1
放轻,1
飞机,1
飞结,1
非同,1
非有,1
肺疾,1
肺疾病,1
肺结,1
肺里,1
肺里面,1
肺曲,1
肺少,1
肺水,1
肺粟,1
肺丸,1
分别,1
分层,1
分处,1
分打,1
分关,1
分几,1
分人,1
分是,1
分诊,1
芬净,1
粉尘,1
粉剂,1
份证,1
奋越,1
丰富,1
风颗,1
佛山,1
否刚,1
否合,1
否机,1
否门,1
否敏,1
否能,1
否皮,1
否要,1
否已,1
夫应,1
敷来,1
伏期,1
服拜,1
服点,1
服感,1
服见,1
服降,1
服抗炎,1
服力,1
服么,1
服莫西,1
服清,1
服务,1
服要,1
服一,1
氟沙,1
辅导,1
父老,1
父母,1
父亲,1
妇能,1
复好,1
复阳,1
复杂,1
腹部,1
腹腔,1
腹时,1
腹痛,1
覆水,1
该常,1
该会,1
该快,1
该来,1
该象,1
该有,1
该注,1
盖病,1
概常,1
概给,1
概意,1
肝火,1
肝润,1
肝郁,1
赶快,1
赶在,1
敢离,1
感抗,1
感冒进,1
感冒用,1
感情,1
感染史,1
干干,1
干冷,1
干痒,1
刚去,1
