"","x"
"16","Hello and welcome to Ask A Doctor service.I have reviewed your query and here is my advice."
"17","Depends on severity. COVID-19 pandemic at this time, so a doctor on video may consult by video instead of requiring an in-person visit. Flu-like symptoms can be from a strep throat infection, a cold or influenza, or from some other cause like COVID-19. Usually, a person calls the doctor if the symptoms are bothersome, serious, recurrent, or persistent. COVID-19 testing depends on local availability."
"18","Real vs. textbook. Real-life criteria is different because we don't have enough tests, supplies, or medical staff around the world at this time (March 2020). Textbook criteria are suspected COVID in hospitalized persons or in those with underlying medical conditions; or persons who got symptoms less than 14 days after (1) contact with a suspect or confirmed COVID patient or (2) travel through high-risk COVID area."
"19","Without any details it's impossible to say."
"20","Without any details it's impossible to say."
"21","COVID-19 symptoms. Nausea, vomiting, and/or diarrhea occur fairly frequently early in the infection, but are rarely if ever the only symptoms. If cough and fever don't develop within a day or two after vomiting or diarrhea, probably it isn't COVID-19."
"22","Break. At 39 your risk for severe infections is very low. A strategy that I recommend is taking in information daily, but get away from it. Practice prudent precautions. In my off times away from ER (still practicing front line ER) I focus my mind on my cooking, planning my garden, engage with my friends and loved ones and read. "
"23","CoV229e is one of several coronaviruses that cause common colds. Biologically related to SARS-CoV-2 (the cause of COVID-19), but different viruses."
"24","Seek care right away if difficulty breathing, other severe symptoms.Seek testing if sick, PLUS known Covid-19 contact, or travel to high risk country, or been in facility treating people with Covid-19, or severe pneumonia of unknown cause. Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home. Seek consultation if sick. If known exposure & not sick, self-isolate 14 days."
"25","your local doctor, local health department, we have no idea here what your set up is where you live."
"26","COVID infections will likely pick up over the next few weeks in US. Avoiding travel and following hand washing recommendations are probably the most important prophylactic measures."
"27","Symptoms of COVID-19 are usually the same as a cold or the flu, with diarrhea being uncommon.The COVID-19 infection is worldwide. The goal is to keep people separated so that the clinics and hospitals are not overwhelmed. Patient:s with medical symptoms should see their primary care doctor on VIDEO or by PHONE, and get instructed to go to a clinic or ER only if not treatable by video or phone."
"28","The symptom pattern is not specific to one agent.It suggests a cold and ear infection. Kids have been among those least affected by Covid-19 . Only proper screening and testing could confirm or exclude this or any other agent. Parainfluenza, rhinovirus, or RSV would be more likely."
"29","In brief: UnlikelyNot at this point.Treat what you have currently symptomatically. Stock up now whilst not yet on lockdown. I don't feel that you qualify for a Covid test right now. Keep posting your questions."
"30","In brief: Data.From Data from China there has been association between worse infection and diarrhea.The seems to be a worse inflammatory response associated with people who have diarrhea."
"31","In brief: Respiratory illness. Cough, fever and shortness of breath are most common sx's.Per Clinical Characteristics of 138 Hospitalized Patient:s With 2019 Novel Coronavirus–Infected Pneumonia in Wuhan, China - JAMA, Wang et al., February 7, 2020 - about 10% of hospitalized patient had diarrhea. This study only looked at people who were so sick that they had to be hospitalized. This is a small study number."
"32","In brief: No.To date the process has been a respiratory virus.No gut issues (diarrhea,etc.) are reported so far as part of the symptom pattern."
"33","In brief: Sort of. If you are having sex with someone who has Covid-19 you are quite at risk of getting it.High likelihood if kissing and having intercourse but it may not be transmitted through intercourse but the closeness in an intimate situation like that with someone who is infected gives a high likelihood of transmission."
"34","In brief: Yes. This virus clings to everything especially hairs. Either wash your beard a few times a day and spray with alcohol or shave off."
"35","In brief: COVID-19 and Asthma.Great question. Yes asthma is a chronic lung disease which carries some increased risk with COVID-19.Good asthma control along with good handwashwng, social distancing avoiding unnecessary travel along with your young age should keep your risk of complications low. Smoking, hypertension, diabetes, obesity or compromised immune system are also risk factors to be considered."
"36","In brief: Maybe.Being over 50 with a medical condition like intermittent asthma makes you at higher risk for any respiratory illness including COVID19.It appears to be less an issue for children and youth."
"37","In brief: Not quite that way.People with chronic lung problems do worse in a lung disease outbreak..For one specific person... well, there's no way to guess. ""People"" in general do worse if they have UNcontrolled lung disease. That means it's likely that asthmatics using inhaled steroids to give them good disease control will be BETTER OFF than asthmatics who use steroids but still cannot get good control. Be in good control."
"38","In brief: No.Diarrhea does not rule out COVID.If you have traveled to endemic areas or met with people that traveled there, you should test if possible."
"39","In brief: Sort of.If you are having sex with someone who has Covid-19 you are quite at risk of getting it.High likelihood if kissing and having intercourse but it may not be transmitted through intercourse but the closeness in an intimate situation like that with someone who is infected gives a high likelihood of transmission."
"40","In brief: COVID-19 mortality.Don't confuse actual mortality rate with REPORTED rate."
"41","In brief: Hard to say.The questions you pose are more appropriate to ask your local physicians and health plans.As a USA based site we have no access to or information about the changing local recommendations for world travel around the globe nor would we know what your plan covers. Find a local health contact & contact your health plan for guidance."
"42","In brief: Standard precautions.COVID-19 is now official name for the illness caused by the newly discovered coronavirus (COronaVirus Infectious Disease - 2019).So far it is extremely rare in the US (2/12/20). Until and unless COVID-19 becomes common no special precautions are necessary. In any dormitory or group living situation people with respiratory symptoms (colds, flu, etc.) should cover their coughs and wash hands frequently."
"43","In brief: Vitamin C.While getting enough vitamin C in your diet is highly recommended, it has no special ability to prevent coronavirus or flu virus.Best preventative measures for these are frequent handwashing and avoiding people with sneezing/coughing/cold symptoms and fevers."
"44","In brief: Yes.It helps to keep the body in good shape and good nutrition."
"45","Hello,* The pneumonia shot per se is not responsible for high WBC count, but as you are telling there are soreness and bad feeling at the injection site over arm, there are all possibilities that you have cellulitis or possible abscess formation at the injection site; which will recruit neutrophils at the site and cause secondary rise in WBC count.  * Primary relief with ice application and secondary management with systemic antibiotics and anti-inflammatory medicines with your doc.Hope I have answered your query. Let me know if I can assist you further.Take care.Regards,Dr Bhagyesh V. Patel, General Surgeon"
"46","Hello,* The pneumonia does not give rise to red urine called hematuria. There can be possible causes for red blood cells in the urine as uncontrolled urinary tract infection- kidney damage via systemic sepsis- abnormal clotting factors or platelet function- side effects of drugs- dehydration related- secondary effects of diabetes- others * Kindly share all reports if available with you for further discussion ahead and guide in details. Hope I have answered your query. Let me know if I can assist you further. Take care Regards, Dr Bhagyesh V. Patel, General Surgeon"
"47","HelloAs you explain the situation yes it might be that in pneumonia to have blood with the cough and especially if you take blood thinners do not worry.However of it last for several days than better to talk with your treating doctor for this for safety.RegardsDr.Jolanda"
"48","Hello, As you explain the situation, unfortunately, there is no home treatment for pneumonia. I strongly recommend you to go to the hospital as an emergency which is free mostly. Hope I have answered your query. Let me know if I can assist you further."
"49","Hello, These symptoms last for 3-4 weeks. So no need to worry if fever is not there.  Hope I have answered your query. Let me know if I can assist you further.  Take care  Regards, Dr Kaushal Bhavsar, Pulmonologist"
"50","Hi, Yes, you should definitely take him to the hospital, seeing that he is especially vulnerable as a heart transplant recipient."
"51","Hello, Usually, he is contagious one week before treatment and until three days after treatment.  Hope I have answered your query. Let me know if I can assist you further.  Take care  Regards, Dr Jnikolla, Pulmonologist"
"52","According to the history you prescribed he needs a chest CT to evaluate better the situation.  Hope I have answered your query. Let me know if I can assist you further.  Regards, Dr. Jnikolla, Pulmonologist"
"53","As you explain the situation I strongly recommend you to send him to the doctor for a re-evaluation of the situation.  Hope I have answered your query. Let me know if I can assist you further.  Regards, Dr. Jnikolla, Pulmonologist"
"54","As you explain the history you don't have to worry you are in the phase of improvement just so correctly the treatment.  Hope I have answered your query. Let me know if I can assist you further.  Regards, Dr. Jnikolla, Pulmonologist"
"55","As you explain the history for giving you a correct opinion I should see his chest X-ray and blood tests.  Hope I have answered your query. Let me know if I can assist you further.  Take care  Regards, Dr Jnikolla, Pulmonologist"
"56","Hello and Welcome to ‘Ask A Doctor’ service. I have reviewed your query and here is my advice. Spirometry exercise would be better for her and anti-fungal treatment should be done with other bronchodilator medication and supportive Rx.  Hope I have answered your query. Let me know if I can assist you further."
"57","As you explain the long history you should absolutely believe in your treating doctor and follow his instructions.  Hope I have answered your query. Let me know if I can assist you further.  Take care  Regards, Dr Jnikolla, Pulmonologist"
"58","The cause of chronic pneumonia is mandatory to be evaluated here with culture of bronchial lavage fluid, CT scan of the thorax and other supportive evaluations. Unless the root cause is identified, one cannot get the complete management chart.  Hope I have answered your query. Feel free to post further doubts.  Thank you.  Regards, Dr. Bhagyesh V. Patel, General Surgeon"
"59","Hello, For Tuberculosis, AKT needs to be started. So confirm tuberculosis by sputum AFB stain and culture. If tuberculosis confirmed, then AKT should be started. And it is to be taken for around six months. Provide reports if available. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Parth Goswami"
"60","In such conditions we recommend another class of antibiotics but in the survey of the allergologist who should monitor closely the patient's situation.   Hope I have answered your query. Let me know if I can assist you further.  Regards, Dr. Jnikolla,  Pulmonologist"
"61","Yes, it might be that after the pneumonia the recovery time lasts up to one week however I recommend you to do a chest CT to see if the pneumonia has gone completely.  Hope I have answered your query. Let me know if I can assist you further.  Regards, Dr. Jnikolla, Pulmonologist"
"62","* As far as my clinical experience is concerned, the intensity of the symptoms are not under control with oral antibiotics.* In our clinic, I recommend the patient to get hospital admission, start intravenous antibiotics, broncho dilators and other supportive measures to control the same. Do give me further chance to assist in future.  Hope I have answered your query. Let me know if I can assist you further."
"63","Yes, you are right. If you don't pay attention in common cold, it can complicate as pneumonia. So follow these steps for better symptomatic relief in common cold. 1. Drink plenty of fluids orally and keep yourself hydrated.2. Do warm water gargles and steam inhalation 4-5 times a day.3. Avoid cold foods like ice cream, cold drinks etc.4. Take treatment for common cold regularly.5. Watch for persistent fever, chest pain, Yellowish green expectoration, breathing difficulty etc. If any of these symptom appears then immediately get done chest x ray.6. Avoid smoking and alcohol if you have these habits.  Hope I have answered your query.  Let me know if I can assist you further."
"64","She is already suffering from COPD (chronic obstructive Pulmonary disease). And pneumonia can be severe in already compromised lungs. So pneumonia in COPD patients should be treated promptly. And hence she needs hospital admission, Intravenous antibiotics, anti pyretic, Intravenous fluids and other supportive drugs. So better to admit her and start appropriate treatment.  Hope I have answered your query. Let me know if I can assist you further."
"65","According to the chest X-ray results, this is an infection of the lung tissue. Don't worry. In this case, antibiotics are given. Consult your doctor.  Regards."
"66","Though this question requires all reports as scanned copy to be evaluated, with provided data I can suggest that- Any of the treatment would be supportive only for advanced case of liver cancer, it is not going to be curative.  Thanks."
"67","* The pneumonia management depends upon the symptoms which are not narrated here precisely.* The Methadone is known to cause long terms side effects over liver, kidney and other body systems, which should be discussed with the   treating physician. Awaiting for the symptomatic details to guide further.  Hope I have answered your query. Let me know if I can assist you further."
"68","According to the history it might be a viral situation or an allergy.  Don't worry so much she is under medical control.  Regards   Dr.Jolanda"
"69","I have reviewed your query and here is my advice. * The Nyquil with its components help to relieve congestion, body ache, allergy related uneasiness.* It is not a substitute for steroid, but will help definitely in your case for symptoms control.  Wish you fine recovery. Take care."
"70","I have reviewed your query and here is my advice. Yes, she can safely do the chest CT. There is not any contraindication of doing it in pneumonia.  Regards, Dr.Jolanda"
"71","Recurrent chest infections in asthma patients can cause bronchitis. So better to consult pulmonologist and get done clinical examination of respiratory system and PFT (Pulmonary Function Test). PFT will not only diagnose bronchitis but it will also tell you about severity of the disease and treatment is based on severity only. You will mostly improve with inhaled bronchodilators (Formoterol or Salmeterol) and inhaled corticosteroid (ICS) (Budesonide or Fluticasone). Don't worry, you will be alright with all these.   Hope I have solved your query. I will be happy to help you further.   Wish you good health!   Thanks."
"72","Levofloxacin is generally advised once a day. It's very effective for pneumonia. The dose is generally to be taken once a day for arrest 10 days. This can be up to 14 days for some. patients.so yes give him one tablet daily for 6 more days.this hopefully would be enough for his pneumonia.  Hope I have answered your query. Let me know if I can assist you further."
"73","Hello As you explain the history it might be a gastric reflux present that has caused the pneumonia. Discuss with his doctor. Regards Dr.Jolanda"
"74","In my opinion, you should definitely consult pulmonologist for this pain. You will need a chest X-ray and PFT (Pulmonary Function Test). A chest X-ray is needed to rule out recurrence of pneumonia because this can also cause similar kind of pain. PFT is needed to know the severity of asthma. You may need inhaled bronchodilators (Formoterol or Salmeterol) and inhaled corticosteroids (ICS) (Budesonide or Fluticasone). Don't worry, you will be alright with all these.   Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"75","Pneumonia can cause pleurisy (inflammation of pleura) and this can cause similar kind of pain. So in my opinion, you should first get the chest X-ray done. If the chest X-ray is worsening, then your pain is due to pneumonia and you will need higher antibiotics. But if the chest X-ray is improving, then possibility of musculoskeletal pain is more likely. So apply warm water pad on the affected areas. Avoid movements causing pain. Avoid sudden jerky movements of the chest. Take simple painkillers and muscle relaxant drugs like Ibuprofen and Thiocolchicoside. Don't worry, you will be alright with all these.   Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"76","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.If your mother is on a ventilator due to pneumonia, then 1. ET tube sputum for culture and sensitivity 2. Higher antibiotics 3. Monitoring of BP and O2 4. She will improve when best intensivist will see this case  Hope I have answered your query. Let me know if I can assist you further.Regards, Dr. Chandra Shekhar"
"77","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.Imodium is having loperamide. It is not a good drug for diarrhea. So you should not take it. You should definitely take probiotics as they are the first line treatment for diarrhea. Along with probiotics, eat more curd and yogurt. Avoid oily and spicy food. Avoid junk food. Drink oral re-hydration solution (ORS) and zinc tablet. Don't worry, you will be alright with all these. Hope I have answered your query. Let me know if I can assist you further.Regards, Dr. Kaushal Bhavsar"
"78","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.Though BOOP (Bronchiolitis obliterans organizing pneumonia ) is serious lung inflammatory condition, 65 - 80% of patients do respond well with corticosteroid therapy and cure. It is the remaining 20% of fatal cases which progress rapidly and have adverse outcomes.So, I do recommend to discuss the case and prognosis in details with his treating physician. Hope I have answered your query. Let me know if I can assist you further.Regards,      Dr. Bhagyesh V. Patel"
"79","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.Maybe pneumonia didn't resolve. You have to change medications. Add Azithromycin, syrup Ascoril thrice and tablet Pantop D twice. Also take Mucaine gel twice. Hope I have answered your query. Let me know if I can assist you further.Regards,      Dr. Chandra Shekhar"
"80","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.Pneumonia causes pleurisy (inflammation of pleura). So chest pain is commonly seen with pneumonia and anti-inflammatory painkiller drugs like paracetamol or ibuprofen should be tried. You can also apply warm water pad on affected areas of the chest. Once your pneumonia is cured, your pain will definitely subside. Mucinex is a good drug for pneumonia. It actually dilutes the secretions and made them easy to cough out. So continue with Mucinex. Hope I have answered your query. Let me know if I can assist you further.Regards,      Dr. Kaushal Bhavsar"
"81","Hello,To be honest, there is a chance of cross infection from one person to another. However, this depends on so many factors and most of the infections, especially bacterial pneumonia, do not transmit easily. If more than one arm distance, the chance is very little and if not too close (like kissing etc.) the chance is further reduced. If two of them are already on antibiotics, as in your case, there is a chance but in the setting what u described, it is extremely unlikely. Hope I have answered your query. Let me know if I can assist you further.Regards,      Dr. Mahboob Ur Rahman"
"82","Hello,Any infection if severe can suppress bone marrow. And this is responsible for low WBC (white blood cells) count. So better to start injectable antibiotics for control of infection. She may need leucovorin injection to stimulate bone marrow for producing WBCs. Once her infection is controlled, she will have a normal WBC count. Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Kaushal Bhavsar"
"83","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.Yes, CPAP machine if not properly maintained can cause pneumonia. Actually, there are a lot of things in CPAP machine that can be infected.Things like tubing, mask, and filters etcetera are very prone to infection. So, proper care should be taken to prevent infections from these parts.Better to ask CPAP provider to check all these parts and if infected replace them.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Kaushal Bhavsar"
"84","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.Pneumococcal vaccine is protective against 23 types of Streptococcus pneumonia bacteria. This bacteria is the most common organism (80% cases) for pneumonia.But there are other bacterias which can cause pneumonia. And in such cases, pneumococcal vaccine is not protective.So you and your brother might be having some other bacterial pneumonia. Second-hand smoking is also a contributing factor to your pneumonia.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Kaushal Bhavsar"
"85","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.As per your history and description, the possibility of end-stage heart disease leads to heart failure is more likely. Surgical treatment is best for this. So try to get it done urgently as soon as possible.Diuretics and other cardiac supportive drugs are advisable until surgery. So better to consult the cardiologist and try for early surgery.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Kaushal Bhavsar"
"86","Hello,CT scan is diagnostic for interstitial lung disease (ILD). It can develop after the age of 60 years especially if the patient is having bronchitis and recurrent pneumonia.Yes, you are right about survival. It is not having a good prognosis.But, now day’s newer treatments like Pirfenidone and N acetylcysteine (NAC) drugs are available. So consult pulmonologist and discuss these newer treatments.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Kaushal Bhavsar"
"87","Hello,After a long chronic disease, there is hair fall present, it is normal but you have a lump, and it is back, maybe it is a lipoma or subcutaneous abscess.You have to investigate all these things like serum biotin level, zinc level, FNAC of that lump after USG. Till then take tablet Astymin M forte for three months at least and biotin-rich foods.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Chandra Shekhar"
"88","Hello,Go for vaccinations given below:- flu vaccine- staphylococcal vaccine - improve immunity Do exercise daily and take citrus food. Rule out diabetes.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Chandra Shekhar"
"89","Hello,These are the best management frame work for your son, which is including antibiotic, decongestant, anti-pyretic, bronchodilator medications needed to cure the issue.Be in regular follow up with your doctor, he will be recovered within some time.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Bhagyesh V. Patel"
"90","Hello,The most possible issue here is systemic manifestation of underlying infection in form of sepsis, side effects of medicines currently used or others.In our clinic, we recommend thorough work up with lab tests and guide to manage in accordance.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Bhagyesh V. Patel"
"91","Hello,The tobacco with or without seeds will contribute to bronchi spasm effects and hamper the pneumonia condition to a great extent. In our clinic, we strongly recommend quitting all tobacco items till complete recovery.Hope I have answered your query. Let me know if I can assist you further.Regards,  Dr. Bhagyesh V. Patel"
"92","Hello,Since, you are feeling better after albuterol (inhaled bronchodilator), possibility of bronchitis (inflammation of airways) is more likely for your symptoms.Bronchitis is common after lung infection (pneumonia). So, it is better to consult pulmonologist and get done clinical examination of respiratory system and PFT (Pulmonary Function Test).PFT will not only diagnose bronchitis but it will also tell you about severity of the disease and treatment is based on severity only.You will mostly improve with inhaled bronchodilators (formoterol or salmeterol) and inhaled corticosteroid (ICS) (budesonide or fluticasone).Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Kaushal Bhavsar"
"93","Hello,For your pneumonia, complete the course of antibiotic. Sputum culture and examination done if needed to do further work up.If your cough is not expelled properly, then cough expectorant syrup containing Ambroxol plus Terbutaline drug can be prescribed. Kindly attach your reports for giving more comment.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Parth Goswami"
"94","Hello,In my opinion, you should definitely consult a pulmonologist. There are two main possibilities for your symptoms. 1. Lung infection (pneumonia).2. Worsening of asthma.So you will need a chest x-ray and PFT (Pulmonary Function Test). A chest x-ray is needed to rule out lung infection. PFT is needed to know the severity of asthma. You may need antibiotics, longer acting inhaled bronchodilators (formoterol or salmeterol) and inhaled corticosteroid (ICS) (budesonide or fluticasone).Don't worry you will be alright with all these.Hope I have answered your query. Let me know if I can assist you further.Regards, Dr. Kaushal Bhavsar"
"95","Hello,According to history, yes, it might be pneumonia, but you should do a chest x-ray. Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Jnikolla"
"96","Hello,She requires ICU care as per the symptomatic details. Stephens is right place for her; you will get pulmonologist there to take care of the issue.She has to be shifted with ICU on wheels along with ventilator support. Cost there has to be inquired.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Bhagyesh V. Patel"
"97","Thanks for your question on Healthcare Magic.I can understand your concern. Pneumonia is less likely to cause nose bleeding. Recurrent nose bleeding with coughing are commonly seen with sinusitis. So better to consult ENT doctor and get done clinical examination and CT scan of paranasal sinuses (PNS). Also get done chest x ray for pneumonia. If chest x ray is normal then no need to worry for pneumonia. You may also need endoscopic evaluation of sinuses if CT PNS is suggestive of infection or erosion.Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"98","Thanks for your question on Healthcare Magic.I can understand your concern. Since you are taking warfarin (blood thinner), possibility of pulmonary embolism (PE) related pain is less likely.Possibility of musculoskeletal pain is more likely. So avoid heavyweight lifting and strenuous exercise. Avoid movements causing pain. Apply warm water pad on affected areas of chest and back. Take painkiller and muscle relaxant drugs like ibuprofen and thiocolchicoside. You will mostly improve with all these in 2-3 days. If not improving then consult doctor. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"99","Thanks for your question on Healthcare Magic.I can understand your concern. In my opinion, you should take her to SGPGI, Lucknow and consult pulmonologist there.She needs bronchoscopy, BAL (bronchoalveolar lavage) analysis and TBLB (Trans bronchial lung biopsy).BAL analysis will identify the causative organism for pneumonia. TBLB is needed to rule out lung cancer. Don't worry, she will be alright. First diagnose her and then start appropriate treatment. Hope I have solved your query. I will be happy to help you further. Wishing good health to your mother. Thanks."
"100","Thanks for your question on Healthcare Magic.I can understand your concern. HRCT thorax is done at radiology center. So ask your doctor about near by CT scan centers.Usually CT scan is not required for diagnosis of pneumonia.But in some cases if diagnosis is not confirmed or patient is not improving or we suspect TB or ILD (interstitial lung disease) then HRCT thorax is advised.Hope I have solved your query. I will be happy to help you further. Wishing good health to your mother. Thanks."
"101","Hello Usually in such conditions we recommend Claritromycin twice orally for some days. Regards Dr.Jolanda"
"102","HelloAs you explain cefuroxime or the group of kinolones are the right choice of treatmentRegardsDr.Jolanda"
"103","Hello Yes i agree with the treatment its ok continue it as the doctor gad prescribed it for you Regards Dr.Jolanda"
"104","Low blood pressure can be a serious and life-threatening problem. Is her blood pressure normally a lot higher than this? If so, then I would suggest urgent evaluation by a physician. Infections can lead to a response called sepsis, and part of this may include a drop in blood pressure, which can be dangerous to her organs. Ensuring adequate hydration is important, as dehydration can cause low blood pressure as well. If she is acting confused, fatigued, or more tired than usual then I would suggest urgent medical evaluation. I hope she feels better."
"105","Thanks for your question on Healthcare Magic.I can understand your concern. In my opinion, you should consult pediatric pulmonologist and get done bronchoscopy and BAL (bronchoalveolar lavage) analysis.BAL culture and sensitivity report will isolate the causative organism and guide about effective antibiotic treatment. So we can achieve faster recovery from this. Don't worry, with effective antibiotic treatment, she will be alright with 2 - 3 weeks treatment.Hope I have solved your query. I will be happy to help you further. Wishing good health to your daughter. Thanks."
"106","Hello welcome to the health care magic Your concern is regarding pneumonia... In pneumonia cough,  dyspnea,  fever like presentation seen For its diagnosis chest x ray and sputum examination done Hope your concern solved Take care"
"107","Hello It is hard to predict her clinical picture. Usually it depends on her heart situation and her treating doctor knows better. Regards Dr.Jolanda"
"108","HelloYes according to the history it might be pneumonia.Continue the current treatment.RegardsDr.Jolanda"
"109","HelloFirst do a chest x ray and some blood tests such as hemogram CRP ESR than it would be the proper treatment.RegardsDr.Jolanda"
"110","HelloIt depends on the age, commodities, immunity status and the cause why the pneumonia is come back again.RegardsDr.Jolanda"
"111","It will be better if he takes it for 10 days. In order to prevent from nausea and headache you cam give him combination of antacid with antiemetic i.e drugs like PANTOP D OR NUPENTA DSR OR GEMPRAZ DSR ONCE A DAY for the rest of the treatment period."
"112","HelloIf the situation has been very short under the water i do not think it might be aspiration pneumonia.RegardsDr.Jolanda"
"113","really crappy, tired, short tempered, headache are beacause of fever low grade and also pneumonia, evaluate yourself by CURB 65 score and pneumonia severity index and get you answer"
"114","Hello dear Warm  welcome to Healthcaremagic.comI have evaluated your query for your husband in details  .*  This odor is in relation with underlying pneumonia causing pathogens  *  Must seek doctor`s opinion immediately , this is not normal .Wishing him fine recovery .Feel  free  to ask any further doubts .Regards  ."
"115","Thanks for your question on Healthcare Magic.I can understand your concern. For diagnosis of pneumonia, chest x ray need to have infiltration.With normal chest x ray, pneumonia is not possible. Cough, congestion, crackles on auscultation are also seen with bronchitis. And bronchitis shows normal chest x ray too.So it is quite possible that you improve within antibiotic because antibiotics also work in bronchitis. So I don't think you are having pneumonia because your chest x ray is normal. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"116","Thanks for your question on Healthcare Magic.I can understand your concern. If you are not having fever, cough or chest pain after completing antibiotics, you are probably cured from pneumonia. You are should also get done chest x ray. If recent chest x ray is showing normal results or resolving infiltration then you are cured from pneumonia. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
