,x
684,services
685,MPs
687,debate
688,emergency
689,coronavirus
690,powers
691,MPs
693,debate
694,emergency
695,coronavirus
696,powers
697,The
698,coronavirus
699,pandemic
701,clobbering
702,global
703,stock
704,markets
705,This
706,year
708,Olympics
711,doubt
712,Only
713,war
715,ever
716,forced
717,them
720,scrapped
721,Singapore
722,Airlines
723,cuts
727,capacity
728,amid
729,the
730,coronavirus
731,outbreak
732,Australia
734,planning
735,for
736,the
737,possibility
738,that
739,Olympic
740,Games
741,could
743,postponed
744,Australia
746,planning
747,for
748,the
749,possibility
750,that
751,Olympic
752,Games
753,could
755,postponed
756,The
757,New
758,York
759,Mayor
760,discussed
761,the
762,need
763,for
764,more
765,supplies
766,with
767,Trump
769,Pence
770,The
771,New
772,York
773,Mayor
774,discussed
775,the
776,need
777,for
778,more
779,supplies
780,with
781,Trump
783,Pence
784,上海
785,应急
786,响应
787,级别
788,调整
790,二级
791,美国
792,新增
794,例新冠
795,肺炎
796,美国
797,确诊
798,人数
799,突破
801,万
802,红宝石
803,公主
805,新增
808,确诊
809,For
810,the
811,first
812,time
813,Japan
815,Prime
816,Minister
818,postponing
819,the
820,Olympics
823,possibility
824,For
825,the
826,first
827,time
828,Japan
830,Prime
831,Minister
833,postponing
834,the
835,Olympics
838,possibility
839,Canada
840,will
841,not
842,send
843,athletes
845,Tokyo
846,Olympics
847,Canada
848,will
849,not
850,send
851,athletes
853,Tokyo
854,Olympics
855,New
856,York
857,warns
859,major
860,medical
861,shortages
864,days
865,Major
866,medical
867,goods
868,shortage
871,days
872,NYC
873,warns
874,DC
876,use
877,National
878,Guard
880,help
881,prevent
882,cherry
883,blossom
884,crowds
886,nation
888,capital
889,DC
891,use
892,National
893,Guard
895,help
896,prevent
897,cherry
898,blossom
899,crowds
901,nation
903,capital
904,上海
906,月
909,无
910,新增
911,本地
912,新冠
913,肺炎
914,确诊
915,病例
916,治愈
917,出院
920,新增
921,境外
922,输入
925,上海
927,月
930,无
931,新增
932,本地
933,新冠
934,肺炎
935,确诊
936,病例
937,治愈
938,出院
941,新增
942,境外
943,输入
949,月
952,天津市
953,新型
954,冠状病毒
955,肺炎
956,疫情
957,情况
961,月
965,时至
968,辽宁
969,新型
970,冠状病毒
971,肺炎
972,疫情
973,情况
974,北京
975,昨日
976,无
977,新增
978,报告
979,本地
980,新冠
981,肺炎
982,确诊
983,病例
984,新增
985,境外
986,输入
987,病例
993,月
997,时至
1000,辽宁
1001,新型
1002,冠状病毒
1003,肺炎
1004,疫情
1005,情况
1006,北京
1007,昨日
1008,无
1009,新增
1010,报告
1011,本地
1012,新冠
1013,肺炎
1014,确诊
1015,病例
1016,新增
1017,境外
1018,输入
1019,病例
1022,Italy
1024,requesting
1025,US
1026,military
1027,support
1028,for
1029,coronavirus
1030,battle
1031,陕西
1032,无
1033,新增
1034,境外
1035,输入
1036,新冠
1037,肺炎
1040,治愈
1041,出院
1042,福建省
1043,新型
1044,冠状病毒
1045,肺炎
1046,疫情
1047,情况
1051,月
1054,湖北省
1055,新冠
1056,肺炎
1057,疫情
1058,情况
1059,Italy
1061,requesting
1062,US
1063,military
1064,support
1065,for
1066,coronavirus
1067,battle
1071,月
1074,湖北省
1075,新冠
1076,肺炎
1077,疫情
1078,情况
1079,Parents
1080,urged
1081,not
1083,send
1084,children
1086,school
1087,President
1088,Trump
1089,approves
1090,California
1091,disaster
1092,declaration
1093,Will
1094,government
1095,rescue
1096,package
1098,enough
1099,for
1100,firms
1101,Ecuador
1102,coronavirus
1103,deaths
1104,increase
1105,President
1106,Trump
1107,approves
1108,California
1109,disaster
1110,declaration
1111,Genetic
1112,detectives
1114,track
1115,coronavirus
1116,Blood
1117,donations
1118,needed
1119,after
1121,drop
1123,NHS
1124,Ford
1125,Bridgend
1127,supply
1128,firms
1129,squeezed
1131,work
1133,paused
1134,Saudi
1135,Arabia
1136,orders
1137,daily
1138,curfew
1139,Supply
1140,firms
1141,squeezed
1143,Ford
1144,pauses
1145,work
1146,Plea
1147,made
1149,keep
1150,children
1152,home
1153,during
1154,outbreak
1155,截至
1157,月
1162,河南省
1163,新型
1164,冠状病毒
1165,肺炎
1166,疫情
1167,最新
1168,情况
1169,四川
1170,新型
1171,冠状病毒
1172,肺炎
1173,疫情
1174,最新
1175,情况
1176,山东省
1177,本地
1178,无
1179,新增
1180,确诊
1181,病例
1182,疑似病例
1184,报告
1185,确诊
1186,病例
1190,月
1193,安徽省
1194,报告
1195,新冠
1196,肺炎
1197,疫情
1198,情况
1199,Plea
1200,made
1202,keep
1203,children
1205,home
1206,during
1207,outbreak
1209,月
1212,安徽省
1213,报告
1214,新冠
1215,肺炎
1216,疫情
1217,情况
1221,月
1224,河北省
1225,新型
1226,冠状病毒
1227,肺炎
1228,疫情
1229,情况
1233,月
1236,河北省
1237,新型
1238,冠状病毒
1239,肺炎
1240,疫情
1241,情况
1245,月
1248,广西
1249,新型
1250,冠状病毒
1251,肺炎
1252,疫情
1253,情况
1255,月
1260,吉林
1261,全省
1262,无
1263,新增
1264,确诊
1265,病例
1266,无
1267,新增
1268,疑似病例
1269,连续
1271,天零
1272,报告
1276,月
1279,广西
1280,新型
1281,冠状病毒
1282,肺炎
1283,疫情
1284,情况
1285,吉林省
1286,卫生
1287,健康
1288,委员会
1289,关于
1290,新型
1291,冠状病毒
1292,肺炎
1293,疫情
1294,情况通报
1298,月
1301,公布
1305,月
1310,黑龙江省
1311,无
1312,新增
1313,确诊
1314,病例
1315,无
1316,新增
1317,疑似病例
1318,无
1319,新增
1320,治愈
1321,出院
1322,病例
1323,无
1324,新增
1325,死亡
1326,病例
1327,Bus
1329,rail
1330,services
1331,cut
1332,due
1334,coronavirus
1335,最新
1336,疫情
1337,通报
1338,Philadelphia
1339,announces
1340,stay
1342,home
1343,order
1344,Transport
1345,cuts
1346,take
1347,effect
1348,across
1349,Wales
1350,The
1351,volunteer
1352,army
1353,helping
1354,self
1355,isolating
1356,neighbours
1357,Bus
1359,rail
1360,services
1361,cut
1362,due
1364,coronavirus
1365,The
1366,volunteer
1367,army
1368,helping
1369,self
1370,isolating
1371,neighbours
1372,Stay
1374,home
1375,Doctors
1377,nurses
1378,appeal
1380,UK
1383,Israel
1385,corona
1386,patient
1387,number
1389,上海
1390,新增
1393,境外
1394,输入
1395,病例
1396,Philadelphia
1397,announces
1398,stay
1400,home
1401,order
1402,东京
1403,奥运会
1407,周内
1408,决定
1409,是否
1410,延期
1411,President
1412,Trump
1413,outlines
1414,aid
1416,three
1417,major
1418,US
1419,coronavirus
1420,hot
1421,spots
1422,美国
1423,新增
1425,例新冠
1426,肺炎
1427,美国
1428,确诊
1429,人数
1430,突破
1432,万
1433,意大利
1434,新冠
1435,肺炎
1436,确诊
1437,病例
1438,新增
1441,死亡
1445,least
1447,killed
1449,Colombia
1450,prison
1451,riot
1453,least
1455,killed
1457,Colombia
1458,prison
1459,riot
1460,Federal
1461,disaster
1462,declaration
1463,issued
1464,for
1465,Washington
1466,Hundreds
1468,Dudley
1469,Tesco
1470,priority
1471,early
1472,opening
1473,法国
1474,新增
1476,例新冠
1477,肺炎
1478,法国
1480,确诊
1481,升至
1484,Mob
1485,rule
1487,hundreds
1489,Tesco
1490,early
1491,opening
1492,全球
1494,小时
1495,新增
1496,病例
1498,万例
1499,Second
1500,coronavirus
1501,related
1502,death
1504,NI
1505,confirmed
1506,Second
1507,coronavirus
1508,related
1509,death
1511,NI
1512,confirmed
1514,least
1517,Americans
1520,tested
1521,for
1522,coronavirus
1523,More
1524,than
1527,US
1528,coronavirus
1529,cases
1532,deaths
1533,New
1534,Orleans
1535,police
1536,create
1537,special
1538,team
1540,investigate
1541,illegal
1542,gatherings
1543,McDonald
1546,close
1547,all
1548,UK
1549,restaurants
1550,McDonald
1553,close
1554,all
1555,UK
1556,restaurants
1557,Non
1558,urgent
1559,operations
1560,postponed
1562,Cornwall
1563,President
1564,Trump
1565,outlines
1566,National
1567,Guard
1568,activations
1569,for
1570,New
1571,York
1572,California
1574,Washington
1575,Harrogate
1576,hospital
1578,urgent
1579,appeal
1580,for
1581,volunteers
1582,Hospital
1584,urgent
1585,appeal
1586,for
1587,volunteers
1588,Coronavirus
1589,Somerset
1590,tourism
1591,boss
1592,pleads
1593,with
1594,visitors
1596,stay
1597,away
1598,Tourism
1599,boss
1601,plea
1603,visitors
1605,avoid
1606,Somerset
1607,Delaware
1608,announces
1609,stay
1611,home
1612,order
1613,that
1614,will
1615,last
1617,May
1618,Czech
1619,Republic
1620,reports
1622,first
1623,coronavirus
1624,death
1625,Cuba
1626,will
1627,not
1628,allow
1629,tourists
1631,visit
1632,starting
1633,Tuesday
1634,Czech
1635,Republic
1636,reports
1638,first
1639,coronavirus
1640,death
1641,Germany
1642,bans
1643,groups
1645,more
1646,than
1647,two
1649,curb
1650,virus
1651,French
1652,Parliament
1653,adopts
1654,state
1656,emergency
1657,law
1658,Germany
1659,bans
1660,groups
1662,more
1663,than
1664,two
1666,curb
1667,virus
1668,US
1669,Defense
1670,Department
1673,members
1675,the
1676,military
1677,tested
1678,positive
1679,for
1680,coronavirus
1681,McDonalds
1682,restaurants
1684,close
1685,across
1686,UK
1688,Ireland
1689,McDonalds
1690,restaurants
1692,close
1693,across
1694,UK
1696,Ireland
1697,Louisiana
1698,governor
1699,issues
1700,executive
1701,order
1702,closing
1703,all
1704,non
1705,essential
1706,businesses
1707,Ohio
1708,announces
1709,stay
1711,home
1712,order
1713,due
1715,Covid
1717,concerns
1718,French
1719,death
1720,toll
1721,rises
1726,Louisiana
1727,governor
1728,issues
1729,executive
1730,order
1731,closing
1732,all
1733,non
1734,essential
1735,businesses
1736,French
1737,death
1738,toll
1739,rises
1744,Coronavirus
1745,IOM
1746,government
1747,orders
1748,school
1749,closures
1750,Three
1751,more
1752,coronavirus
1753,cases
1755,Isle
1757,Man
1758,Spain
1759,announces
1761,day
1762,travel
1763,restrictions
1764,Coronavirus
1765,IOM
1766,government
1767,orders
1768,school
1769,closures
1770,Spain
1771,announces
1773,day
1774,travel
1775,restrictions
1776,NYPD
1777,commissioner
1780,employees
1782,coronavirus
1783,Spain
1784,announces
1786,day
1787,travel
1788,restrictions
1789,Major
1790,shortages
1792,supplies
1795,days
1796,NYC
1797,warns
1798,More
1799,staffers
1801,inmates
1802,with
1803,NYC
1804,corrections
1805,department
1806,test
1807,positive
1808,for
1809,coronavirus
1810,Major
1811,shortages
1813,supplies
1816,days
1817,NYC
1818,warns
1819,Greece
1821,ban
1822,all
1823,non
1824,essential
1825,movement
1826,starting
1827,Monday
1828,Greece
1830,ban
1831,all
1832,non
1833,essential
1834,movement
1835,starting
1836,Monday
1837,TSA
1838,officers
1840,Orlando
1842,New
1843,York
1844,test
1845,positive
1846,for
1847,coronavirus
1848,New
1849,York
1850,reports
1852,coronavirus
1853,related
1854,deaths
1855,Florida
1857,receive
1859,million
1860,N95
1861,masks
1862,this
1863,week
1864,Florida
1866,receive
1868,million
1869,N95
1870,masks
1871,this
1872,week
1873,Greece
1875,ban
1876,all
1877,non
1878,essential
1879,movement
1880,starting
1881,Monday
1883,you
1884,allowed
1886,go
1887,for
1889,walk
1890,Emirates
1891,Group
1892,suspends
1893,passenger
1894,flights
1896,cuts
1897,staff
1898,salaries
1899,amid
1900,coronavirus
1901,outbreak
1902,Emirates
1903,Group
1904,suspends
1905,passenger
1906,flights
1908,cuts
1909,staff
1910,salaries
1911,amid
1912,coronavirus
1913,outbreak
1914,Nearly
1919,Italy
1921,infected
1923,healthcare
1924,workers
1925,Nearly
1930,Italy
1932,infected
1934,healthcare
1935,workers
1936,Fauci
1938,there
1939,isn
1941,fundamentally
1943,difference
1944,between
1945,his
1946,view
1948,Trump
1951,coronavirus
1952,Fauci
1954,there
1955,isn
1957,fundamentally
1959,difference
1960,between
1961,his
1962,view
1964,Trump
1967,coronavirus
1968,Coronavirus
1969,Life
1970,should
1971,not
1972,feel
1973,normal
1974,Coronavirus
1975,Life
1976,should
1977,not
1978,feel
1979,normal
